"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.698511540E-1,1.160518974E-1,-1.657029688E-1,9.850652695E0,9.852729775E0
1.723657890E-1,1.351944804E-1,-1.561316848E-1,9.812367439E0,9.814540713E0
1.748803200E-1,1.208375469E-1,-1.992024779E-1,9.845867157E0,9.848623427E0
1.773949560E-1,7.776673883E-2,-1.992024779E-1,9.841081619E0,9.843404733E0
1.799095910E-1,8.733802289E-2,-1.752742529E-1,9.836296082E0,9.838245250E0
1.824241750E-1,9.212367237E-2,-1.944168359E-1,9.836296082E0,9.838648550E0
1.849388100E-1,1.160518974E-1,-1.944168359E-1,9.865009308E0,9.867607339E0
1.874533930E-1,9.212367237E-2,-2.039881349E-1,9.855438232E0,9.857979544E0
1.893366220E-1,1.064806059E-1,-1.800599098E-1,9.874580383E0,9.876795909E0
1.918512060E-1,1.160518974E-1,-1.800599098E-1,9.884152412E0,9.886473513E0
1.943657890E-1,8.733802289E-2,-1.609173268E-1,9.879366875E0,9.881063311E0
1.968804250E-1,1.016949639E-1,-1.561316848E-1,9.841081619E0,9.842845443E0
1.993950080E-1,1.112662554E-1,-1.704886109E-1,9.845867157E0,9.847971701E0
2.019096430E-1,1.064806059E-1,-1.896311939E-1,9.831509590E0,9.833914731E0
2.044242270E-1,6.340979785E-2,-2.039881349E-1,9.850652695E0,9.852968612E0
2.069388100E-1,3.948157281E-2,-1.944168359E-1,9.826724052E0,9.828726383E0
2.094534450E-1,1.016949639E-1,-1.561316848E-1,9.831509590E0,9.833275130E0
2.119680290E-1,1.016949639E-1,-1.704886109E-1,9.869794846E0,9.871791050E0
2.144826640E-1,8.255238086E-2,-1.465603858E-1,9.807581902E0,9.809024294E0
2.169972470E-1,5.383851007E-2,-1.704886109E-1,9.831509590E0,9.833135094E0
2.188837060E-1,7.776673883E-2,-1.417747438E-1,9.893723488E0,9.895044831E0
2.213982890E-1,6.819544733E-2,-1.944168359E-1,9.898509026E0,9.900652981E0
2.239128720E-1,1.016949639E-1,-1.704886109E-1,9.884152412E0,9.886145717E0
2.264275080E-1,1.064806059E-1,-1.848455518E-1,9.874580383E0,9.876884314E0
2.289420910E-1,1.016949639E-1,-2.039881349E-1,9.850652695E0,9.853289376E0
2.314567270E-1,8.733802289E-2,-1.896311939E-1,9.850652695E0,9.852864884E0
2.339713100E-1,9.212367237E-2,-1.944168359E-1,9.869794846E0,9.872139331E0
2.364858930E-1,8.733802289E-2,-1.896311939E-1,9.874580383E0,9.876787214E0
2.390005290E-1,8.733802289E-2,-1.848455518E-1,9.817152977E0,9.819281460E0
2.415151120E-1,8.255238086E-2,-1.896311939E-1,9.855438232E0,9.857608109E0
2.440297470E-1,7.776673883E-2,-1.752742529E-1,9.826724052E0,9.828594728E0
2.465443310E-1,1.016949639E-1,-2.087737769E-1,9.826724052E0,9.829467634E0
2.484203720E-1,1.304088384E-1,-1.848455518E-1,9.826724052E0,9.829327543E0
2.509349560E-1,9.690931439E-2,-1.800599098E-1,9.817152977E0,9.819282334E0
2.534495390E-1,7.776673883E-2,-1.992024779E-1,9.817152977E0,9.819481751E0
2.559641750E-1,8.733802289E-2,-1.752742529E-1,9.817152977E0,9.819105945E0
2.584787580E-1,1.208375469E-1,-1.848455518E-1,9.812367439E0,9.814852233E0
2.609933930E-1,8.733802289E-2,-1.944168359E-1,9.798010826E0,9.800328667E0
2.635079770E-1,1.160518974E-1,-1.704886109E-1,9.798010826E0,9.800181149E0
2.660225600E-1,1.208375469E-1,-1.752742529E-1,9.812367439E0,9.814676640E0
2.685371950E-1,1.016949639E-1,-1.704886109E-1,9.778867722E0,9.780882483E0
2.710517790E-1,8.255238086E-2,-1.800599098E-1,9.807581902E0,9.809582011E0
2.735664140E-1,7.776673883E-2,-1.657029688E-1,9.826724052E0,9.828428702E0
2.760809970E-1,7.776673883E-2,-1.800599098E-1,9.826724052E0,9.828681236E0
2.779721430E-1,1.016949639E-1,-1.752742529E-1,9.850652695E0,9.852736749E0
2.804867270E-1,8.255238086E-2,-1.848455518E-1,9.855438232E0,9.857517209E0
2.830013100E-1,8.733802289E-2,-1.752742529E-1,9.826724052E0,9.828675119E0
2.855159450E-1,1.208375469E-1,-1.513460279E-1,9.812367439E0,9.814278481E0
2.880305290E-1,7.776673883E-2,-1.561316848E-1,9.788438797E0,9.789992791E0
2.905451640E-1,1.208375469E-1,-1.704886109E-1,9.831509590E0,9.833730162E0
2.930597470E-1,1.256231815E-1,-1.465603858E-1,9.845867157E0,9.847759197E0
